"fdc_id","food_code","wweia_category_code","start_date","end_date"
"781493","12310350","8006","2015-01-01","2016-12-31"
"781494","12310370","8006","2015-01-01","2016-12-31"
"781495","12320100","8006","2015-01-01","2016-12-31"
"781496","12350010","8412","2015-01-01","2016-12-31"
"781497","12350200","8412","2015-01-01","2016-12-31"
"781498","12350205","8412","2015-01-01","2016-12-31"
"781499","12350210","8412","2015-01-01","2016-12-31"
"781500","12350215","8412","2015-01-01","2016-12-31"
"781501","12350220","8412","2015-01-01","2016-12-31"
"781502","12350225","8412","2015-01-01","2016-12-31"
"781503","12350230","8412","2015-01-01","2016-12-31"
"781504","12350235","8412","2015-01-01","2016-12-31"
"781505","12350240","8412","2015-01-01","2016-12-31"
"781506","12350245","8412","2015-01-01","2016-12-31"
"781507","12350250","8412","2015-01-01","2016-12-31"
"781508","12350255","8412","2015-01-01","2016-12-31"
"781509","13110000","5802","2015-01-01","2016-12-31"
"781510","13110100","5802","2015-01-01","2016-12-31"
"781511","13110110","5802","2015-01-01","2016-12-31"
"781512","13110120","5802","2015-01-01","2016-12-31"
"781513","13110130","5802","2015-01-01","2016-12-31"
"781514","13110140","5802","2015-01-01","2016-12-31"
"781515","13110200","5802","2015-01-01","2016-12-31"
"781516","13110210","5802","2015-01-01","2016-12-31"
"781517","13110220","5802","2015-01-01","2016-12-31"
"781518","13110310","5802","2015-01-01","2016-12-31"
"781519","13110320","5802","2015-01-01","2016-12-31"
"781520","13110330","5802","2015-01-01","2016-12-31"
"781521","13120050","5802","2015-01-01","2016-12-31"
"781522","13120100","5802","2015-01-01","2016-12-31"
"781523","13120110","5802","2015-01-01","2016-12-31"
"781524","13120120","5802","2015-01-01","2016-12-31"
"781525","13120121","5802","2015-01-01","2016-12-31"
"781526","13120130","5802","2015-01-01","2016-12-31"
"781527","13120140","5802","2015-01-01","2016-12-31"
"781528","13120300","5802","2015-01-01","2016-12-31"
"781529","13120310","5802","2015-01-01","2016-12-31"
"781530","13120400","5802","2015-01-01","2016-12-31"
"781531","13120500","5802","2015-01-01","2016-12-31"
"781532","13120550","5802","2015-01-01","2016-12-31"
"781533","13120700","5802","2015-01-01","2016-12-31"
"781534","13120710","5802","2015-01-01","2016-12-31"
"781535","13120720","5802","2015-01-01","2016-12-31"
"781536","13120730","5802","2015-01-01","2016-12-31"
"781537","13120740","5802","2015-01-01","2016-12-31"
"781538","13120750","5802","2015-01-01","2016-12-31"
"781539","13120760","5802","2015-01-01","2016-12-31"
"781540","13120770","5802","2015-01-01","2016-12-31"
"781541","13120780","5802","2015-01-01","2016-12-31"
"781542","13120790","5802","2015-01-01","2016-12-31"
"781543","13120800","1402","2015-01-01","2016-12-31"
"781544","13120810","1402","2015-01-01","2016-12-31"
"781545","13121000","5802","2015-01-01","2016-12-31"
"781546","13121100","5802","2015-01-01","2016-12-31"
"781547","13121200","5802","2015-01-01","2016-12-31"
"781548","13121300","5802","2015-01-01","2016-12-31"
"781549","13121400","5802","2015-01-01","2016-12-31"
"781550","13121500","5802","2015-01-01","2016-12-31"
"781551","13122100","5802","2015-01-01","2016-12-31"
"781552","13122500","5802","2015-01-01","2016-12-31"
"781553","13126000","5802","2015-01-01","2016-12-31"
"781554","13127000","5802","2015-01-01","2016-12-31"
"781555","13127010","5802","2015-01-01","2016-12-31"
"781556","13130100","5802","2015-01-01","2016-12-31"
"781557","13130300","5802","2015-01-01","2016-12-31"
"781558","13130310","5802","2015-01-01","2016-12-31"
"781559","13130320","5802","2015-01-01","2016-12-31"
"781560","13130330","5802","2015-01-01","2016-12-31"
"781561","13130340","5802","2015-01-01","2016-12-31"
"781562","13130590","5802","2015-01-01","2016-12-31"
"781563","13130600","5802","2015-01-01","2016-12-31"
"781564","13130610","5802","2015-01-01","2016-12-31"
"781565","13130620","5802","2015-01-01","2016-12-31"
"781566","13130630","5802","2015-01-01","2016-12-31"
"781567","13130640","5802","2015-01-01","2016-12-31"
"781568","13130700","5802","2015-01-01","2016-12-31"
"781569","13135000","5802","2015-01-01","2016-12-31"
"781570","13135010","5802","2015-01-01","2016-12-31"
"781571","13136000","5802","2015-01-01","2016-12-31"
"781572","13140100","5802","2015-01-01","2016-12-31"
"781573","13140110","5802","2015-01-01","2016-12-31"
"781574","13140450","5802","2015-01-01","2016-12-31"
"781575","13140500","5802","2015-01-01","2016-12-31"
"781576","13140550","5802","2015-01-01","2016-12-31"
"781577","13140570","5802","2015-01-01","2016-12-31"
"781578","13140575","5802","2015-01-01","2016-12-31"
"781579","13140580","5802","2015-01-01","2016-12-31"
"781580","13140600","5802","2015-01-01","2016-12-31"
"781581","13140630","5802","2015-01-01","2016-12-31"
"781582","13140650","5802","2015-01-01","2016-12-31"
"781583","13140660","5802","2015-01-01","2016-12-31"
"781584","13140670","5802","2015-01-01","2016-12-31"
"781585","13140680","5802","2015-01-01","2016-12-31"
"781586","13140700","5802","2015-01-01","2016-12-31"
"781587","13140710","5802","2015-01-01","2016-12-31"
"781588","13140900","5802","2015-01-01","2016-12-31"
"781589","13142000","5802","2015-01-01","2016-12-31"
"781590","13150000","5802","2015-01-01","2016-12-31"
"781591","13160150","5802","2015-01-01","2016-12-31"
"781592","13160160","5802","2015-01-01","2016-12-31"
